8001   D8       CLD                a: 00 x: 00 y: 00 s: FD p: 24 nv--dIzc  V: 0  H: 31    Cycle: 9
8002   A2 40    LDX #$40           a: 00 x: 00 y: 00 s: FD p: 24 nv--dIzc  V: 0  H: 37    Cycle: 11
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 167   Cycle: 168
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 179   Cycle: 172
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 188   Cycle: 175
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 200   Cycle: 179
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 209   Cycle: 182
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 221   Cycle: 186
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 230   Cycle: 189
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 242   Cycle: 193
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 251   Cycle: 196
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 263   Cycle: 200
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 272   Cycle: 203
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 284   Cycle: 207
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 293   Cycle: 210
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 305   Cycle: 214
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 314   Cycle: 217
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 326   Cycle: 221
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 1  H: 335   Cycle: 224
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 6     Cycle: 228
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 15    Cycle: 231
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 27    Cycle: 235
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 36    Cycle: 238
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 48    Cycle: 242
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 57    Cycle: 245
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 69    Cycle: 249
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 78    Cycle: 252
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 90    Cycle: 256
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 99    Cycle: 259
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 111   Cycle: 263
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 120   Cycle: 266
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 132   Cycle: 270
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 141   Cycle: 273
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 153   Cycle: 277
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 162   Cycle: 280
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 174   Cycle: 284
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 183   Cycle: 287
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 195   Cycle: 291
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 204   Cycle: 294
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 216   Cycle: 298
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 225   Cycle: 301
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 237   Cycle: 305
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 246   Cycle: 308
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 258   Cycle: 312
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 267   Cycle: 315
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 279   Cycle: 319
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 288   Cycle: 322
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 300   Cycle: 326
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 309   Cycle: 329
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 321   Cycle: 333
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 2  H: 330   Cycle: 336
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 3  H: 1     Cycle: 340
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 3  H: 10    Cycle: 343
8017   10 FB    BPL $FB [$8014]    a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 3  H: 22    Cycle: 347
8014   2C 02 20 BIT $2002          a: 00 x: 00 y: 00 s: FF p: 26 nv--dIZc  V: 3  H: 31    Cycle: 350
